Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Role 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Role 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Role 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Role 4,Stock 4 Top100 Uses,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Worst Year,Worst Year %,Best Year,Best Year %,Defense Recession Worst %,Defense Recession Avg %,Defense Recession Positive Years,Defense Recession Observations,Recession Stress Years,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Candidate Partners per Profit Pair,NBER Recession Periods,NBER Source,2025 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2016 Balance After Withdrawal ($)
26,KLAC + MS + NEM + AMZN,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,27.16329034100047,34.570764030515356,-9.129289648915417,62.06064777286062,47.523116375102006,38.18891086473577,-22.9612257165688,30.322108551732917,14.104048943306147,79.41851392738148,2022,-22.9612257165688,2025,79.41851392738148,-30.2474222161406,27.231897233734244,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3167847.5130541925,3167847.5130541925,2867847.5130541925,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,538255.5417821445,614171.3668351558,800401.0753805735,616619.1778245961,852099.3260188976,1257043.4803543182,2037172.80704872,1851193.4008443016,2491165.1031986573,3167847.5130541925
27,KLAC + MS + WMT + NEM,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,28.297269739443507,33.01293920337412,-12.433269155670178,62.05450704383138,39.41208086241965,34.0293994272318,-10.593024951177188,17.354044000040304,19.896572764120577,84.23845824007145,2018,-12.433269155670178,2025,84.23845824007145,2.0779226929201027,13.0108424788273,4,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3146225.2476898674,3146225.2476898674,2846225.2476898674,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,552715.3747202144,662686.7914299036,777689.7487971043,695308.8796642799,931918.3155782481,1299206.7156856465,2105423.0385847264,1843650.1253319979,2452293.220330781,3146225.2476898674
28,KLAC + DE + WMT + NEM,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,28.694521989958012,37.272348293104955,-8.950339991788624,61.78099117489919,42.81936072975543,30.140568521129495,-6.07612573334082,14.80467694954093,13.84699015137587,75.79360108068458,2018,-8.950339991788624,2025,75.79360108068458,2.0779226929201027,13.0108424788273,4,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3131339.6631561164,3131339.6631561164,2831339.6631561164,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,527380.8032420537,600407.1711272278,689295.5131944913,647413.0511385171,842547.025431657,1203320.2755690624,1946743.4688241575,1772503.309596456,2433156.916656059,3131339.6631561164
29,KLAC + DE + NEM + JPM,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,31.836895688456536,34.07904260776296,-9.436641132487257,65.41865692313715,34.98191766268541,37.605643787443974,-9.366401128940938,19.34466949084861,9.225269973901874,78.98775720700304,2018,-9.436641132487257,2025,78.98775720700304,-20.495518445002958,5.093490303156911,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3120374.209973909,3120374.209973909,2820374.209973909,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,536963.2716210091,586499.5830887433,699955.9890024657,634395.303346449,872963.7413271893,1178343.1985433646,1949199.4929755693,1765260.5318672038,2366844.4206602513,3120374.209973909
30,KLAC + DE + NEM + COST,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,25.421896981724856,32.753345264573454,-6.345166478877173,64.57001004119482,44.95212633225929,43.372486348175876,-10.581300300090213,21.695398562801227,6.348054392707692,68.32250433522877,2022,-10.581300300090213,2025,68.32250433522877,-19.918675200341823,11.064449442757642,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3116632.7739138096,3116632.7739138096,2816632.7739138096,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,504967.51300568634,537023.1253967906,653532.4328260361,584380.2035502279,837840.4275564929,1214467.5150144289,1998649.3114062948,1871831.685268633,2484919.1799163525,3116632.7739138096
31,MU + GLW + COST + JPM,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,36.65369407928773,49.229260223344305,-9.290466360343864,43.51178251317922,24.593043523879565,24.604422681707504,-27.816850826078166,37.58047535626552,27.487811949450357,89.96799336880721,2022,-27.816850826078166,2025,89.96799336880721,-24.565292473559154,2.5593256718309414,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2973761.2342321044,2973761.2342321044,2673761.2342321044,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,569903.9801064216,726558.1144505078,999602.1076005283,721544.280474956,899076.0850786993,1120186.2579948963,1607599.2663161561,1458245.797269919,2176129.4155039093,2973761.2342321044
32,MU + GLW + JPM + MA,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,38.650461874477585,56.519395743814215,-8.491333077462137,45.256866481884515,22.20507795258264,16.16281971954674,-25.91514549601178,34.05350896539232,25.538562311196866,93.57610262299356,2022,-25.91514549601178,2025,93.57610262299356,-29.264862588853905,11.702620193945961,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2964848.7773761153,2964848.7773761153,2664848.7773761153,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,580728.3078689807,729037.9686328595,977300.9786423644,724032.0080932486,841055.9962731744,1027813.1358705033,1492969.1544546871,1366196.1708061695,2138361.9912209446,2964848.7773761153
33,MU + DHR + COST + JPM,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,DHR,Industrials,Danaher Corporation Common Stock,Profit Engine,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,41.247876240367276,47.39971604500239,-7.664761073039383,56.40904462294305,26.165249529285827,33.38794281283284,-31.321701778400524,47.780400581362926,14.076564620058862,68.11571816450517,2022,-31.321701778400524,2025,68.11571816450517,-24.565292473559154,2.5593256718309414,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2954789.9512399454,2954789.9512399454,2654789.9512399454,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,504347.1544935155,575341.9076052234,850242.575771454,583932.1317953281,778895.058024908,982694.8935284008,1537023.694526219,1419214.5007047816,2091918.1441083467,2954789.9512399454
34,MU + AXP + MA + DHR,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,AXP,Finance,American Express Company Common Stock,Profit Engine,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,37.939325917960765,56.32518068757846,-5.80555177401817,55.42929123839346,23.86906422802795,25.737395214143156,-28.183607594514516,42.71208648792795,14.6147176396328,68.90555328706476,2022,-28.183607594514516,2025,68.90555328706476,-34.37773987835582,18.26642848917391,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2926795.9180422598,2926795.9180422598,2626795.9180422598,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,506716.65986119426,580771.8689328864,828831.6518890564,595236.9915015122,748435.4884650322,927080.0359121055,1440953.929030829,1357298.6026411953,2121799.493048826,2926795.9180422598
35,MU + GLW + MA + SPGI,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,34.220736860197064,63.31938220426352,-7.201659062655386,47.47148444748821,30.092739083443988,16.922722331478223,-29.0947825092288,34.64286779642129,20.422090740984068,85.68635184091687,2022,-29.0947825092288,2025,85.68635184091687,-39.477657756378505,15.28219279378787,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2922311.691313849,2922311.691313849,2622311.691313849,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,557059.0555227506,670822.1613224755,903214.1958185167,640425.9899526393,748803.5019709452,974138.986066753,1436577.223334351,1333119.8295380496,2177243.0696440735,2922311.691313849
36,GLW + AXP + TSM + MA,Not rebalanced,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,AXP,Finance,American Express Company Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,22.754137311218003,40.89769830221059,1.1272085828208933,40.878223813734515,36.124276885681894,14.759461587838697,-18.927422437054208,22.676923266736537,62.308606538938434,44.68539043622655,2022,-18.927422437054208,2024,62.308606538938434,-24.90966235772212,32.56153349447272,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2697120.5161727,2697120.5161727,2397120.5161727,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,434056.1713086796,704510.5232473854,864271.834010279,700687.4529826776,804105.1484564613,1094582.3187368969,1542028.1288157306,1559410.0022332538,2197172.8002411053,2697120.5161727
37,GLW + GS + TSM + MA,Not rebalanced,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,27.531592950400174,35.25632585517759,-7.705064330664213,42.470861667519614,40.68813074246969,18.01283261835154,-18.631314663883447,19.78281029793689,60.0780345546051,52.346512224997554,2022,-18.631314663883447,2024,60.0780345546051,-24.90966235772212,32.56153349447272,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2685364.83948868,2685364.83948868,2385364.83948868,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,457039.53667499265,731619.9074468018,876354.8858389441,713078.4494859739,841524.0770294188,1183924.49372051,1686747.42769643,1556782.4532965962,2105646.747887072,2685364.83948868
38,AXP + RIO + TSM + DHR,Not rebalanced,AXP,Finance,American Express Company Common Stock,Profit Engine,5,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,33.083652454240365,38.08037498462078,-1.1921211909671547,50.18536430009979,42.865212109584625,21.17490926513128,-18.755932110795715,27.23195296302339,37.55923069083684,31.690038670119257,2022,-18.755932110795715,2019,50.18536430009979,-25.899812776590416,24.950073720416093,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2651959.108802858,2651959.108802858,2351959.108802858,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,395070.1160103578,543455.4122732448,691448.9345184996,561761.2417793896,680713.6750128501,972503.0356660568,1460557.2269445967,1443145.614735988,1992700.876401563,2651959.108802858
39,AXP + ABBV + TSM + DHR,Not rebalanced,AXP,Finance,American Express Company Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,27.6622826890629,40.799006808306814,-0.8897030742524348,40.70625075671579,40.02337862994876,28.412164601908053,-16.963272738316505,24.119670182956867,47.56391124621941,28.843141392016513,2022,-16.963272738316505,2024,47.56391124621941,-25.899812776590416,24.950073720416093,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2649565.370924735,2649565.370924735,2349565.370924735,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,386529.42417604954,570377.9364316687,707951.2134953425,587859.5182959063,754883.1322621229,1057012.8665010093,1487283.1744696598,1474050.770343564,2075448.8444939337,2649565.370924735
40,GS + RIO + TSM + DHR,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,38.87220673888072,31.978547800619573,-10.263556301694566,51.178016317758605,47.861997261734544,25.07703631597311,-18.390030670280698,23.304485432072152,36.48129291825608,39.35116045889026,2022,-18.390030670280698,2019,51.178016317758605,-25.899812776590416,24.950073720416093,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2640203.4321188373,2640203.4321188373,2340203.4321188373,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,418053.4813766708,570564.7964726612,703531.9863471646,574152.238282686,718132.6035858076,1061845.2106496699,1605276.525825296,1440518.0657993304,1901174.8240475298,2640203.4321188373
41,RIO + ABBV + AMAT + SPGI,Not rebalanced,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,39.78462758641914,56.88303601890845,-16.75123376959351,51.203304376246095,33.47330974669125,39.912250233681036,-11.620194068147216,28.874515186878135,3.581589327696477,35.71341405858932,2018,-16.75123376959351,2017,56.88303601890845,-43.83826266182314,9.686032170302203,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2476118.0591708785,2476118.0591708785,2176118.0591708785,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,407140.24217576795,421722.33363829285,543492.6129111386,480337.7165448201,672051.3079389383,897009.1239020289,1356307.4358962832,1129109.2066749171,1771380.8034006217,2476118.0591708785
42,AXP + RIO + AMAT + TMUS,Not rebalanced,AXP,Finance,American Express Company Common Stock,Profit Engine,5,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,47.11723720826524,40.62473088277265,-16.545983372556215,51.79386203855687,31.60932341535667,27.139265891973263,-8.291944887270796,32.579543135080094,17.70936262333094,30.87063798093228,2018,-16.545983372556215,2019,51.79386203855687,-32.879599149266696,6.883865762081451,1,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2464061.591767399,2464061.591767399,2164061.591767399,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,392611.9139427968,462140.9814853267,612704.4018932212,561899.2905663531,714394.6330782671,940209.9431099271,1427180.9839170768,1191039.8556218732,1674896.591674823,2464061.591767399
43,GS + RIO + AMAT + TMUS,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,54.87883942411431,33.23410826476658,-24.396456970540303,52.67806798440879,36.94247757812623,30.911766850071288,-8.082295243193983,27.703012106582435,17.7227918705136,38.531759769703285,2018,-24.396456970540303,2016,54.87883942411431,-32.879599149266696,6.883865762081451,1,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2452305.915083379,2452305.915083379,2152305.915083379,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,415595.27930910984,489250.36568474304,624787.4537218863,574290.2870696494,751813.5616512246,1029552.1180935404,1571900.2827977764,1188412.3066852156,1583370.53932079,2452305.915083379
44,GS + ABBV + AMAT + TMUS,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,47.04309245139016,36.64353697356297,-23.727170293799503,43.49527257980592,34.877100792153136,37.57474225805344,-6.377954772554883,24.239328588833374,26.806798332697856,35.68486249160054,2018,-23.727170293799503,2016,47.04309245139016,-32.879599149266696,6.883865762081451,1,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2449912.1772052557,2449912.1772052557,2149912.1772052557,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,407054.58747480164,516172.8898431669,641289.7326987291,600388.5635861661,825983.0189004974,1114061.948928493,1598626.2303228395,1219317.4622927918,1666118.5074131608,2449912.1772052557
45,ABBV + SONY + AMAT + SPGI,Not rebalanced,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,34.87207667822565,60.074015782544144,-15.249732311504838,52.20329923230687,35.403687584671026,48.498712795113285,-23.210097289194863,31.724755309559917,10.926459372567177,29.92742672920492,2022,-23.210097289194863,2017,60.074015782544144,-43.83826266182314,9.686032170302203,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2449006.6927890335,2449006.6927890335,2149006.6927890335,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,389782.2801876148,432371.6826737805,569540.5410298642,437349.62735542597,649458.5670370322,879390.8491027043,1338461.885481313,1134350.0308538924,1815799.6474183542,2449006.6927890335
46,GS + ABBV + ASML + TMUS,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,28.09020756149403,36.88130267146978,-13.924721390945805,42.31421440385961,39.37830246765736,32.274310284642425,-1.8051883512419375,17.07366083985238,24.4335990167172,34.743631949540976,2018,-13.924721390945805,2019,42.31421440385961,-32.53573168419325,19.36174501909995,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2289667.1807667245,2289667.1807667245,1989667.1807667245,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,404230.89584862295,502999.0520419592,588879.4042152759,578249.0218075188,764874.905323587,1066069.659041117,1517168.6602622704,1305907.1512900041,1787542.7203656395,2289667.1807667245
47,SPGI + SONY + ASML + TMUS,Not rebalanced,SPGI,Finance,S&P Global Inc. Common Stock,Profit Engine,5,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,24.35345450272619,48.563657859286955,-2.6550089804403987,59.77790997290262,53.493147081436575,26.346642367445682,-20.92761557925733,28.33837909257102,11.543370808416874,19.071943459038422,2022,-20.92761557925733,2019,59.77790997290262,-32.53573168419325,19.36174501909995,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2253249.719226452,2253249.719226452,1953249.719226452,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,357215.8303771153,398450.5782639111,511365.0136288796,404348.5093698108,510880.76505157247,784166.9641113785,1252925.585955122,1219660.299129778,1811971.9538447193,2253249.719226452
48,SPGI + SONY + TJX + ASML,Not rebalanced,SPGI,Finance,S&P Global Inc. Common Stock,Profit Engine,5,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,17.92325253603071,44.19270788570553,1.5487067383783248,63.650667893236815,36.728906983992516,34.042875761445316,-21.864493100867122,28.83848364639059,11.18699922634121,27.898279253092806,2022,-21.864493100867122,2019,63.650667893236815,-34.410639925419105,25.226281063441206,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2224195.7631881097,2224195.7631881097,1924195.7631881097,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,383694.8377592784,426618.7762909201,549649.1623240088,429471.15914870193,575675.4922889336,787114.808381377,1288118.6410026946,1308067.8211942108,1886138.4123614812,2224195.7631881097
49,SONY + BBVA + TJX + ASML,Not rebalanced,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,BBVA,Finance,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,15.28011596074026,38.46233436694926,-10.57754113694578,42.20178430234891,16.71983743073284,26.429335684922783,-6.441128094261773,41.40777752207032,11.904986417206786,64.97018664049214,2018,-10.57754113694578,2025,64.97018664049214,-34.410639925419105,25.226281063441206,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2194646.9699345813,2194646.9699345813,1894646.9699345813,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,494910.5599214764,553829.5948574502,783158.1213474066,732713.9035708061,926365.320755636,1081252.0964006651,1537559.7738882995,1374923.7563001341,1903751.5287389103,2194646.9699345813
50,SONY + BBVA + LIN + ASML,Not rebalanced,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,BBVA,Finance,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Profit Engine,5,LIN,Basic Materials,Linde plc Ordinary Shares,Recession Defense,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,17.13059436561426,47.10693319138155,-14.12704655651419,42.37987001353589,19.008958311294965,30.71677290725081,-8.863470905252536,44.63687690743006,6.699402230042284,58.59245858125335,2018,-14.12704655651419,2025,58.59245858125335,-36.587817937762054,18.853523072681828,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2193091.4679157794,2193091.4679157794,1893091.4679157794,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,475777.37574376,507651.6158643741,734251.4427563344,669171.2797562297,874719.1021194948,1040994.0915823232,1482166.0344435005,1272779.748712827,1872347.2546124123,2193091.4679157794
51,FTNT + BBVA + TJX + LIN,Not rebalanced,FTNT,Technology,Fortinet Inc. Common Stock,Profit Engine,5,BBVA,Finance,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,LIN,Basic Materials,Linde plc Ordinary Shares,Recession Defense,5,2.0486892819990388,31.83685040519475,9.807291258092587,30.788665241953318,10.575328770078208,35.13554884370227,0.3294826018588104,38.63045406937153,22.861807668332744,42.49647273237227,2022,0.3294826018588104,2025,42.49647273237227,-29.577393522951255,21.067407339973848,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2109127.6900421926,2109127.6900421926,1809127.6900421926,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,427489.4181971168,525221.2267878163,728116.5715646733,730515.5889892298,987186.2505693999,1091584.442140122,1427668.7218638877,1567684.351617767,2066785.6734679628,2109127.6900421926
