Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Role 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Role 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Role 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Role 4,Stock 4 Top100 Uses,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Worst Year,Worst Year %,Best Year,Best Year %,Defense Recession Worst %,Defense Recession Avg %,Defense Recession Positive Years,Defense Recession Observations,Recession Stress Years,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Candidate Partners per Profit Pair,NBER Recession Periods,NBER Source,2025 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2016 Balance After Withdrawal ($)
26,KLAC + DE + JPM + AMZN,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,21.676682114870218,40.880049834405675,-5.3315305476034025,64.75193559423494,39.31796353896342,38.36878983329286,-17.994615927538014,43.397913739485716,24.459380277243127,37.085696083279096,2022,-17.994615927538014,2019,64.75193559423494,-34.89402373284276,18.72677639774883,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3102160.241297329,3102160.241297329,2802160.241297329,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,411257.0882498373,511848.02338198235,733979.3870465577,601902.615360232,832845.3648488924,1160303.2017361268,1911621.9836221493,1809703.2736106324,2549510.8737175297,3102160.241297329
27,KLAC + DE + WMT + JPM,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,22.69937264214532,39.31276643780788,-8.975947568171405,64.65093819099981,31.753408030220577,34.09853780183436,-4.3128222923253805,26.929776888308112,31.62818076717999,41.905642540815194,2018,-8.975947568171405,2019,64.65093819099981,-4.195299102324196,4.505704301603022,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3080538.1756438874,3080538.1756438874,2780538.1756438874,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,425716.92762244557,560363.4470473574,711268.0731008434,680592.345085957,912664.383151483,1202466.428680069,1979872.2562535433,1802159.960615453,2510638.8967678966,3080538.1756438874
28,KLAC + DE + COST + JPM,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,19.64679933610234,34.75766086483616,-6.41259698702219,67.41555483268367,33.664120046739285,47.02352568697981,-8.578099231607972,35.92212609098333,23.227109796709122,34.43454205982557,2022,-8.578099231607972,2019,67.41555483268367,-24.565260859313206,2.5593436269304206,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3065831.086690697,3065831.086690697,2765831.086690697,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,403303.6261794767,496979.40224629303,675504.9697674216,617559.4831463287,907957.7253360223,1213613.7039667843,2031778.116021475,1901488.3737705057,2562401.254109946,3065831.086690697
29,KLAC + MS + WMT + DHR,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,25.992513682215158,34.53196334847182,-10.951454299600538,66.02656864936291,39.86968250614289,41.30260100704935,-8.93556002175212,23.783453657660438,29.699321527858725,41.121935113937,2018,-10.951454299600538,2019,66.02656864936291,-7.681610428349384,10.137018773978959,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3065584.4774465016,3065584.4774465016,2765584.4774465016,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,423365.80534181104,549102.577109284,679698.1340690898,618963.2993326171,874611.2412360364,1223315.9662798797,2031029.5225542816,1808602.2525803545,2433148.119561038,3065584.4774465016
30,KLAC + MS + COST + DHR,Not rebalanced,KLAC,Technology,KLA Corporation Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,22.776148953888264,30.2411309556307,-8.401831284449045,68.73207011647142,41.90789025533448,56.477236162847056,-13.666688274768612,32.573700178903174,21.141164498317554,33.65083463294742,2022,-13.666688274768612,2019,68.73207011647142,-29.678161720898224,8.190658099306358,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3050877.388493311,3050877.388493311,2750877.388493311,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,400952.50389884226,485718.5323082196,643935.030735668,555930.4373929888,869904.5834205757,1234463.2415665952,2082935.3823222134,1907930.6657354073,2484910.4769030884,3050877.388493311
31,MU + GLW + COST + JPM,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,36.65367710987448,49.22927464153348,-9.290470797402406,43.51179090422184,24.593047373444342,24.60438788844954,-27.816837035832933,37.580465393683625,27.487822016960518,89.96799750806457,2022,-27.816837035832933,2025,89.96799750806457,-24.565260859313206,2.5593436269304206,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2973761.0946177104,2973761.0946177104,2673761.0946177104,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,569903.9925241937,726558.1876567961,999602.1359341333,721544.4387746303,899076.0312782767,1120186.2255738266,1607599.3137834047,1458245.768997116,2176129.583565248,2973761.0946177104
32,MU + AXP + MA + DHR,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,AXP,Finance,American Express Company Common Stock,Profit Engine,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,37.939310407590156,56.325189196928726,-5.805541444582863,55.429258894848196,23.869073535257733,25.737382032870325,-28.18360412474068,42.71207240460782,14.614720958660921,68.90557193318215,2022,-28.18360412474068,2025,68.90557193318215,-34.37774525683358,18.26643394553729,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2926795.6336983824,2926795.6336983824,2626795.6336983824,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,506716.71579954645,580771.9498645411,828831.6855963364,595237.0444674497,748435.4766032033,927080.0908775786,1440953.7146127056,1357298.5495136087,2121799.525494318,2926795.6336983824
33,MU + GLW + MA + SPGI,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,34.22072932729967,63.31939651757894,-7.201660498890716,47.47147975945667,30.09273876575318,16.922689595576035,-29.094764104476113,34.64285259698268,20.422101126932034,85.68635983320799,2022,-29.094764104476113,2025,85.68635983320799,-39.47765999114881,15.282197419737956,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2922311.6264349916,2922311.6264349916,2622311.6264349916,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,557059.079499624,670822.2480517939,903214.2106321424,640426.1666906145,748803.4989685136,974138.9797819277,1436577.1683980832,1333119.7579254757,2177243.143500496,2922311.6264349916
34,MU + GS + MA + DHR,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,43.578667270758075,49.872082228031545,-14.568085280837629,56.00537840785649,29.33974557163388,29.331491474482885,-27.742011350052962,38.33534131310037,14.759541255154307,76.56668450172101,2022,-27.742011350052962,2025,76.56668450172101,-34.37774525683358,18.26643394553729,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2915039.830499033,2915039.830499033,2615039.830499033,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,529700.053505163,607881.3514308321,840914.7422805286,607628.0790327957,785854.4572308643,1016422.1555457443,1585673.22998043,1354671.0015614685,2030273.6373795024,2915039.830499033
35,MU + RIO + MA + DHR,Not rebalanced,MU,Technology,Micron Technology Inc. Common Stock,Profit Engine,5,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,DHR,Industrials,Danaher Corporation Common Stock,Recession Defense,5,44.32710731853342,59.29394730986062,-6.080630737829884,58.486361269794074,36.02182925798196,16.17300109267248,-26.934962584366616,41.2231749477628,0.07981093957545315,73.52361666518364,2022,-26.934962584366616,2025,73.52361666518364,-34.37774525683358,18.26643394553729,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2907033.033794614,2907033.033794614,2607033.033794614,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,520570.84999555093,520986.32248208835,735753.4256527952,537578.5157400192,624521.094964625,849485.0174728616,1346317.8937248127,1264453.274050078,2014197.5321231387,2907033.033794614
36,GLW + AXP + TSM + MA,Not rebalanced,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,AXP,Finance,American Express Company Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,Recession Defense,5,22.754189442335182,40.89763421745389,1.1272543627625975,40.878173672146815,36.124270421749216,14.759461097938642,-18.927410373359443,22.676918953384995,62.30860142507628,44.685400940493224,2022,-18.927410373359443,2024,62.30860142507628,-24.909664397877656,32.56151739145209,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2697120.973610254,2697120.973610254,2397120.973610254,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,434056.2028214797,704510.5521983362,864271.8391383981,700687.5614032925,804105.2694467063,1094582.4314571696,1542027.7387730386,1559410.3137333672,2197172.23979329,2697120.973610254
37,GLW + RIO + TSM + SPGI,Not rebalanced,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,29.262164198276942,44.34047295247525,-2.555526930685492,42.82410732102528,49.69744210710276,12.213755499353018,-20.746223118599026,20.88784929733203,42.228992778261976,48.470838508005976,2022,-20.746223118599026,2020,49.69744210710276,-30.9997398037193,24.882778859830772,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2647475.3378454386,2647475.3378454386,2347475.3378454386,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,445412.5155240179,633505.7345381305,765831.4576584115,606950.3547401782,681081.7870705994,1019562.0139020315,1456180.3449398442,1418967.2640655576,2048144.0599930242,2647475.3378454386
38,GLW + ABBV + TSM + SPGI,Not rebalanced,GLW,Industrials,Corning Incorporated Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,24.13026205427322,46.97101507578718,-2.227650476704701,34.31248187385081,46.18602227116355,19.303834034879095,-19.082025269161996,18.458557219041992,51.172082343042334,45.62394122990323,2022,-19.082025269161996,2024,51.172082343042334,-30.9997398037193,24.882778859830772,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2645081.8514096295,2645081.8514096295,2345081.8514096295,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,436871.8236897097,660428.2330417586,782333.7563284796,633048.6312566949,755251.288394561,1104071.8166557227,1482906.2586200128,1449872.2902807803,2130892.0223282264,2645081.8514096295
39,RIO + ABBV + TSM + SPGI,Not rebalanced,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,24.42531214100896,48.87486899285114,-2.143229799332391,44.265128931041154,50.23558633896448,19.78367005791131,-15.835092228409653,25.63775593559672,30.048697292166395,34.800018474086784,2022,-15.835092228409653,2020,50.23558633896448,-30.9997398037193,24.882778859830772,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2617105.5826191898,2617105.5826191898,2317105.5826191898,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,404400.0554222603,525917.0039254484,660750.3218156574,556119.8989566345,666140.8248926047,1000780.5741206193,1443777.3855719254,1412833.9184083259,2103354.6451169606,2617105.5826191898
40,AXP + RIO + TSM + TMUS,Not rebalanced,AXP,Finance,American Express Company Common Stock,Profit Engine,5,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,TSM,Technology,Taiwan Semiconductor Manufacturing Company Ltd.,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,29.80653661110022,36.08072021479782,-2.6333568461160084,45.08406523141133,47.354256200114754,11.103141984962516,-12.641844083618237,28.89213677132727,45.26203557768547,29.95725161666187,2022,-12.641844083618237,2020,47.354256200114754,-20.04106997929769,21.42242584945465,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2605048.902226622,2605048.902226622,2305048.902226622,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,389871.7548499856,566335.6472375328,729962.1170221823,637681.4443187591,708484.1204932306,1043981.5060487248,1514650.8092396022,1474764.6484597395,2006870.355097245,2605048.902226622
41,RIO + ABBV + AMAT + SPGI,Not rebalanced,RIO,Basic Materials,Rio Tinto Plc Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,SPGI,Finance,S&P Global Inc. Common Stock,Recession Defense,5,39.784668538604166,56.883036420482426,-16.75124938164648,51.20332973905701,33.473314277152056,39.91223336685286,-11.620186737731208,28.87451496142035,3.5815892075162115,35.71341405858932,2018,-16.75124938164648,2017,56.883036420482426,-43.83825561940666,9.686041129721428,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2476118.725626069,2476118.725626069,2176118.725626069,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,407140.24217576795,421722.33314899064,543492.6113297469,480337.75498745864,672051.280707155,897009.1180018864,1356307.6544817993,1129109.176897193,1771380.7612186328,2476118.725626069
42,AXP + ABBV + AMAT + TMUS,Not rebalanced,AXP,Finance,American Express Company Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,40.054979939712986,43.839905206143,-15.954394604974464,41.8833633428634,29.947569481122716,34.110089676664735,-6.549378447377785,28.65542765215727,27.336653097209272,28.023749923061647,2018,-15.954394604974464,2017,43.839905206143,-32.87958579498505,6.883876906134726,1,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2461668.558797693,2461668.558797693,2161668.558797693,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,384071.2497691849,489063.47496470314,629206.70520634,587997.5768661001,788564.0776317425,1024719.8526836829,1453906.9918296444,1221944.9331638291,1757644.4335341193,2461668.558797693
43,GS + ABBV + AMAT + TMUS,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,ABBV,Health Care,AbbVie Inc. Common Stock,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,47.043123812164644,36.643548728704836,-23.727188325599936,43.49530149969958,34.87709054220973,37.57473785022258,-6.377951573483576,24.23933744841502,26.806795062332366,35.68486249160054,2018,-23.727188325599936,2016,47.043123812164644,-32.87958579498505,6.883876906134726,1,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2449912.7555983434,2449912.7555983434,2149912.7555983434,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,407054.58747480164,516172.87653099414,641289.7618905324,600388.6114314462,825983.0582594036,1114061.9173518487,1598626.5071973691,1219317.385211689,1666118.5454193037,2449912.7555983434
44,AXP + SONY + AMAT + TMUS,Not rebalanced,AXP,Finance,American Express Company Common Stock,Profit Engine,5,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,41.73959515343961,43.721735984739716,-15.11738948145236,52.75829576352593,33.36069701361437,33.31795953727985,-18.76175015426472,35.10266753240601,25.99208834006337,25.084659871780012,2022,-18.76175015426472,2019,52.75829576352593,-32.87958579498505,6.883876906134726,1,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2436950.753796065,2436950.753796065,2136950.753796065,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,375253.97961534007,472790.32549656264,638752.3415810012,518911.2231490582,691801.8545122653,922591.7751306674,1409335.472544069,1196280.740059315,1719315.446864339,2436950.753796065
45,GS + SONY + AMAT + TMUS,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,AMAT,Technology,Applied Materials Inc. Common Stock,Recession Defense,5,TMUS,Telecommunications,T-Mobile US Inc. Common Stock,Recession Defense,5,48.98700741512088,36.370393805587774,-23.191058141957754,53.572785768359225,38.769189117403435,37.2515972879436,-18.366109291136535,30.193189360025862,25.52809727270302,32.74577244031893,2018,-23.191058141957754,2019,53.572785768359225,-32.87958579498505,6.883876906134726,1,3,"2001,2008,2009,2020",300000.0,0.0,0.0,2425194.950596716,2425194.950596716,2125194.950596716,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,398237.3173209568,499899.72706285364,650835.3982651934,531302.2577144043,729220.8351399264,1011933.8397988331,1554054.9879117934,1193653.1921071748,1627789.5587495235,2425194.950596716
46,GS + SONY + TJX + ASML,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,22.6236524833751,33.224674083241126,-9.228058052556742,55.94238709888588,31.92514149384045,37.17531738183006,-16.08645086795405,23.658293474369874,22.04386392467752,40.63087628859816,2022,-16.08645086795405,2019,55.94238709888588,-34.410632541724404,25.226247304255132,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2235895.4224791974,2235895.4224791974,1935895.4224791974,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,421892.6288657945,514894.065881215,636709.2150695082,534285.3000156159,732907.5560208841,966889.3302995993,1507790.3022736264,1368650.5378689955,1823380.218414496,2235895.4224791974
47,GS + SONY + LIN + ASML,Not rebalanced,GS,Finance,Goldman Sachs Group Inc. (The) Common Stock,Profit Engine,5,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,LIN,Basic Materials,Linde plc Ordinary Shares,Recession Defense,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,24.685814530999252,41.489682732735076,-12.798859853603739,56.73942749677754,36.0170111535681,44.720533644206604,-19.914817302253507,25.406934747573516,16.376192954272263,34.25314801774633,2022,-19.914817302253507,2019,56.73942749677754,-36.58779012080745,18.85348803232702,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2234339.8105109,2234339.8105109,1934339.8105108999,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,402759.44405323896,468716.1077529516,587802.5034011104,470742.7087507068,681261.3601952161,926631.340281677,1452396.657763217,1266506.4450176782,1791975.9508451547,2234339.8105109
48,SONY + BBVA + TJX + ASML,Not rebalanced,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,Profit Engine,5,BBVA,Finance,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,15.280099832701888,38.462314609609805,-10.577517993705133,42.20177458555487,16.71983465239746,26.42932664464963,-6.441111125083343,41.40777714829322,11.904979483046162,64.97018523677656,2018,-10.577517993705133,2025,64.97018523677656,-34.410632541724404,25.226247304255132,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2194646.7961891186,2194646.7961891186,1894646.7961891186,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,494910.5557103297,553829.5558270742,783158.0640853313,732713.9828925437,926365.3548022362,1081252.110402265,1537559.688735784,1374924.0359957998,1903751.6443636492,2194646.7961891186
49,ASML + BBVA + TJX + LIN,Not rebalanced,ASML,Technology,ASML Holding N.V. New York Registry Shares,Profit Engine,5,BBVA,Finance,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,LIN,Basic Materials,Linde plc Ordinary Shares,Recession Defense,5,15.791207525733153,34.21103023843089,-11.058780101692111,41.772601694337716,14.604829120837802,27.41295202024807,-0.6214666965313587,42.510743515384576,10.390936232553717,60.44363215978168,2018,-11.058780101692111,2025,60.44363215978168,-29.577374607196095,21.06739181759969,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2153242.90712187,2153242.90712187,1853242.9071218702,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,481330.89647934504,531345.683000093,757224.6834803309,752518.7842545856,958806.3975256493,1098838.4334839312,1557851.835567474,1385572.4267618929,1859591.0286567647,2153242.90712187
50,BBVA + CNQ + TJX + ASML,Not rebalanced,BBVA,Finance,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Profit Engine,5,CNQ,Energy,Canadian Natural Resources Limited Common Stock,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,ASML,Technology,ASML Holding N.V. New York Registry Shares,Recession Defense,5,20.367356883447908,31.075825763051146,-16.699283832833345,41.771366330086444,4.988962317486911,36.99604474402458,5.801515528174517,41.80151366226021,9.510398576135337,62.789944950182175,2018,-16.699283832833345,2025,62.789944950182175,-34.410632541724404,25.226247304255132,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2150290.839032451,2150290.839032451,1850290.8390324512,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,488369.83485054655,534815.7526704475,758376.8325909043,802374.1822957437,1099220.8937923785,1154060.6099696232,1636127.4950312646,1362905.9207689674,1786440.1900214397,2150290.839032451
51,FTNT + BBVA + TJX + LIN,Not rebalanced,FTNT,Technology,Fortinet Inc. Common Stock,Profit Engine,5,BBVA,Finance,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Profit Engine,5,TJX,Consumer Discretionary,TJX Companies Inc. (The) Common Stock,Recession Defense,5,LIN,Basic Materials,Linde plc Ordinary Shares,Recession Defense,5,2.048688785644548,31.836840324155457,9.80730797729652,30.78865938249431,10.575325991054463,35.13554168753714,0.3294951072129626,38.63045168256383,22.86179921350129,42.496476674015014,2022,0.3294951072129626,2025,42.496476674015014,-29.577374607196095,21.06739181759969,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,2109127.7202282236,2109127.7202282236,1809127.7202282236,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,427489.43002204504,525221.2051726261,728116.5290634168,730515.6374014895,987186.2637146676,1091584.4292414044,1427668.641032885,1567684.501554264,2066785.7131006275,2109127.7202282236
